device_id,licence_number,registration_id,radcom_access_id,radcom_registration_id,freq_centre,bandwidth,freq_lower,freq_upper,occupied_bw,service_type,service_subtype,licence_subtype,height,latitude,longitude,site_id,site_name,state,client,industry,emission_designator,tx_rx,power_watts,eirp_watts,simplex_duplex,azimuth,antenna_gain,antenna_manufacturer,antenna_model,multi_antenna,antenna_size,antenna_tilt,antenna_type,date_authorised,date_issued,date_effective,date_expires,licence_status
332255318,9867483,10277456,,,3435000000,19900000,3425050000,3444950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-35.972421,147.009018,9019685,NBN Co Site Lot 15 - Hume Highway TABLE TOP,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,245,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,11/8/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332255732,9867483,10051892,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,20,-31.113331,150.864272,9015382,Murroon Water Reservoir Country Road off Oxley Highway WESTDALE,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,100,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,2/6/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332255794,9867483,9972001,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-29.044054,152.009863,9018833,"NBN Co Site Reservoir, 152 Pelham Street (Entry via Riley St) TENTERFIELD",NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8593,X,60,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,30/3/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332255861,9867483,10283787,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-32.36154,138.05261,10006672,NBN Co Site Section 129 Finlay Road Quorn,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,150,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332255946,9867483,10055186,,,3475000000,19900000,3465050000,3484950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,35,-36.020066,146.961523,9813,Allcom Site One Tree Hill ALBURY,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,90,17.5,ARGUS,SSPX310R, ,0.75,-7,Panel (1 sector)-R,8/6/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332256037,9867483,10104526,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-35.18249,147.231128,9019591,"NBN Co site Lot 7002 / DP1027137, Uranquinty Cross Road URANQUINTY",NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,125,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,21/9/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332256199,9867483,9971961,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,50,-20.407801,148.571036,9017726,NBN Co Site 51 Jupp St PROSERPINE,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,30,17.5,ARGUS,SSPX310M, ,0,0,Panel (1 sector)-R,30/3/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332256299,9867483,10089458,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-35.224147,146.720499,9018994,NBN Co Site Intersection of O'Connell St and Drummond St LOCKHART,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,325,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332256433,9867483,10267882,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-35.929324,145.477297,9019292,NBN Co Site Strathmerton Sports Oval Numurkah Road STRATHMERTON,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,250,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,26/7/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332256992,9867483,9972028,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-36.229948,145.560267,9018139,NBN Co Site 238-240 Hickey Road KATANDRA WEST,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,350,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,30/3/2016,9/12/2015,14/12/2015,13/12/2030,Granted
